ID;Region;Kuerzel;Foerderung;Reserven;Ressourcen;Verbl. Potenzial;;
1;Belgien;BE;-;-;4100;4100;;
2;Bulgarien;BG;2.3;192;3920;4112;;
3;Deutschland;DE;11.6;36;82962;82998;;
4;Frankreich;FR;0.3;-;160;160;;
5;Irland;IE;-;14;26;40;;
6;Italien;IT;0.1;10;600;610;;
7;Montenegro;ME;-;142;195;337;;
8;Niederlande;NL;-;497;2750;3247;;
9;Norwegen;NO;1.2;13;75;88;;
10;Polen;PL;79.6;15160;161331;176491;;
11;Portugal;PT;-;3;-;3;;
12;Rumaenien;RO;0.025;11;2435;2446;;
13;Schweden;SE;-;1;4;5;;
14;Serbien;RS;0.2;402;453;855;;
15;Slowakei;SK;-;-;19;19;;
16;Slowenien;SI;-;56;39;95;;
17;Spanien;ES;6.1;868;3363;4231;;
18;Tschechische Republik;CZ;10.8;1123;15421;16543;;
19;Tuerkei;TR;3.3;384;801;1185;;
20;Ungarn;HU;-;276;5075;5351;;
21;Vereinigtes Koenigreich;GB;16.8;264;186700;186964;;
22;Armenien;AM;-;163;154;317;;
23;Georgien;GE;0.5;201;700;901;;
24;Kasachstan;KZ;112.8;25605;123090;148695;;
25;Kirgisistan;KG;0.2;971;27528;28499;;
26;Russland;RU;276.1;69634;2624612;2694246;;
27;Tadschikistan;TJ;0.2;375;3700;4075;;
28;Turkmenistan;TM;-;-;800;800;;
29;Ukraine;UA;85.6;32039;49006;81045;;
30;Usbekistan;UZ;0.2;1375;9477;10852;;
31;Aegypten;EG;0.2;16;166;182;;
32;Algerien;DZ;-;59;164;223;;
33;Botsuana;BW;0.7;40;21200;21240;;
34;Kongo. DR;CD;0.1;88;900;988;;
35;Madagaskar;MG;-;-;150;150;;
36;Malawi;MW;0.1;2;800;802;;
37;Marokko;MA;-;14;82;96;;
38;Mosambik;MZ;4.5;849;23338;24187;;
39;Namibia;NA;-;-;350;350;;
40;Niger;NE;0.2;-;90;90;;
41;Nigeria;NG;0.025;287;1857;2144;;
42;Sambia;ZM;0.8;45;900;945;;
43;Simbabwe;ZW;1.9;502;25000;25502;;
44;Suedafrika;ZA;260;33896;-;33896;;
45;Swasiland;SZ;0.1;144;4500;4644;;
46;Tansania;TZ;0.1;269;1141;1410;;
47;Uganda;UG;-;-;800;800;;
48;Iran;IR;1.2;1203;40000;41203;;
49;Afghanistan;AF;0.7;66;-;66;;
50;Australien;AU;374.1;61082;1532148;1593230;;
51;Bangladesch;BD;1;293;2967;3260;;
52;Bhutan;BT;0.1;-;-;-;;
53;China;CN;3505;180600;5010000;5190600;;
54;Indien;IN;557.7;80417;175732;256149;;
55;Indonesien;ID;382.8;13511;91285;104796;;
56;Japan;JP;1.3;340;13543;13883;;
57;Korea. DVR;KP;32.2;600;10000;10600;;
58;Korea. Rep.;KR;2.1;326;1360;1686;;
59;Laos;LA;0.3;4;58;62;;
60;Malaysia;MY;2.9;141;1068;1209;;
61;Mongolei;MN;23.6;1170;39854;41024;;
62;Myanmar;MM;1.1;3;248;252;;
63;Nepal;NP;0.025;1;7;8;;
64;Neukaledonien;NC;-;2;-;2;;
65;Neuseeland;NZ;4.6;825;2350;3175;;
66;Pakistan;PK;2.8;207;5789;5996;;
67;Philippinen;PH;8.2;211;1012;1223;;
68;Taiwan;TW;-;1;101;102;;
69;Vietnam;VN;42.4;3116;3519;6635;;
70;Groenland;GL;-;183;200;383;;
71;Kanada;CA;57;4346;183260;187606;;
72;Mexiko;MX;13.7;1160;3000;4160;;
73;USA;US;850.7;224225;6458553;6682778;;
74;Argentinien;AR;0.2;500;300;800;;
75;Bolivien;BO;-;1;-;1;;
76;Brasilien;BR;-;1547;4665;6212;;
77;Chile;CL;0.1;1181;4135;5316;;
78;Costa Rica;CR;-;-;17;17;;
79;Kolumbien;CO;89.2;4881;9928;14809;;
80;Peru;PE;0.2;102;1465;1567;;
81;Venezuela;VE;3.1;731;5981;6712;;